Facility ID,Name,Address,City,State,Zip,Location confidence,Purpose,Operator,Tenant,Location determination,Info source 1,Info source 2,Info source 3,Info source 4,Info source 5,Info source 6,Info source 7,Info source 8,Lat,Long,Date created,Date updated,SizeRank (numeric),Power source,Number of buildings,Cooling source,Facility size (sq ft),Cooling type,Property Size (acres),Project cost,Other info,Status,Status detail,Expected date online,County,Community push-back,Community group website,Information source
620,Midlothian 2,Farm-to-Market 157,Venus,TX,76084,High,,,,Google Maps and other sources,https://8888cre.com/Data-center-land-for-sale-in-tax-incentive-zone-data-center-land-for-sale-with-power-substation-access-megawatt-powerline-near-Dallas-Texas-Fort-Worth-TX.pdf,,,,,,,,32.389700,-97.050000,5/25/2025,5/25/2025,1,,,,,,,,,Unknown,,,,,,Media Monitoring
621,Midlothian 3,Farm-to-Market 157,Venus,TX,76084,High,,,,Google Maps and other sources,https://8888cre.com/Data-center-land-for-sale-in-tax-incentive-zone-data-center-land-for-sale-with-power-substation-access-megawatt-powerline-near-Dallas-Texas-Fort-Worth-TX.pdf,,,,,,,,32.386200,-97.064000,5/25/2025,5/25/2025,1,,,,,,,,,Unknown,,,,,,Media Monitoring
622,Midlothian 4,Farm-to-Market 157,Venus,TX,76084,High,,,,Google Maps and other sources,https://8888cre.com/Data-center-land-for-sale-in-tax-incentive-zone-data-center-land-for-sale-with-power-substation-access-megawatt-powerline-near-Dallas-Texas-Fort-Worth-TX.pdf,,,,,,,,32.386200,-97.064000,5/25/2025,5/25/2025,1,,,,,,,,,Unknown,,,,,,Media Monitoring
623,Midlothian 5,Farm-to-Market 157,Venus,TX,76084,High,,,,Google Maps and other sources,https://8888cre.com/Data-center-land-for-sale-in-tax-incentive-zone-data-center-land-for-sale-with-power-substation-access-megawatt-powerline-near-Dallas-Texas-Fort-Worth-TX.pdf,,,,,,,,32.375700,-97.081700,5/25/2025,5/25/2025,1,,,,,,,,,Unknown,,,,,,Media Monitoring
624,Midlothian 6,Farm-to-Market 157,Venus,TX,76084,High,,,,Google Maps and other sources,https://8888cre.com/Data-center-land-for-sale-in-tax-incentive-zone-data-center-land-for-sale-with-power-substation-access-megawatt-powerline-near-Dallas-Texas-Fort-Worth-TX.pdf,,,,,,,,32.379700,-97.099700,5/25/2025,5/25/2025,1,,,,,,,,,Unknown,,,,,,Media Monitoring
625,Rowdy Data Center,,Vernon,TX,76384,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/soluna-breaks-ground-on-50mw-cryptomine-data-center-expansion-in-texas/,,,,,,,,34.082360,-99.177200,7/24/2025,7/24/2025,5,,,,,,,,,Operating,,,,,,Media Monitoring
626,DFW-10 data center,adjacent to Thad Hill Energy Center,Whitney,TX,76692,Medium,,,,Google Maps and other sources,https://www.dallasnews.com/business/energy/2025/07/30/cyrusone-calpine-to-develop-a-12b-hyperscale-data-center-campus-in-central-texas/,https://www.power-eng.com/gas/calpine-lands-190-mw-agreement-for-new-hyperscale-data-center-in-texas/,,,,,,,31.856790,-97.362500,8/1/2025,8/1/2025,5,,,,,,,$1.2 billion,,Proposed,,,,,,Media Monitoring
627,Willis Data Center (Comcast),606 TX-75,Willis,TX,77378,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/comcast-to-convert-former-bank-into-data-center-in-new-jersey/,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025831,,,,,,,30.430830,-95.481700,8/12/2025,8/12/2025,1,,,,"5,200",,,$7.5 million,,Proposed,,,,,,Media Monitoring
630,BluSky AI,near Intermountain Power Plant,Delta,UT,84624,Medium,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/blusky-ai-signs-letter-of-intent-for-25-acre-data-center/,,,,,,,,39.507570,-112.601000,8/2/2025,8/2/2025,3,,,,,,25,,Late 2026,Proposed,,,,,,Media Monitoring
629,"Fibernet MercuryDelta, LLC",Hwy 50,Delta,UT,84624,High,,,,Google Maps and other sources,https://www.sltrib.com/news/2025/06/22/largest-data-center-campus-world/,https://www.datacenterdynamics.com/en/news/fibernet-ceo-eyes-multi-gigawatt-data-center-campus-in-utah/,https://www.abc4.com/news/central-utah/worlds-largest-data-center-is-coming-to-this-rural-utah-county/,,,,,,39.288730,-112.465000,6/22/2025,6/22/2025,5,,,,"20,000,000",,1200,,,Proposed,,,,,,Media Monitoring
628,"Joule Capital Partners, LLC data center",11000 McCornick Rd,Delta,UT,84624,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/millard-county-commission-in-utah-approves-data-center-land-rezoning-request/,,,,,,,,39.198910,", -112.36232005636562",8/6/2025,8/6/2025,1,,,,,,4000,,2026,Proposed,,,,,,Media Monitoring
631,"Aligned: SLC-01, -02, and -03",3333 9000 S,West Jordan,UT,84088,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/aligned-announces-plans-for-100mw-data-center-in-salt-lake-city-utah/,https://www.datacenterdynamics.com/en/news/aligned-opens-second-salt-lake-city-data-center/,,,,,,,40.586170,-111.970000,6/19/2025,6/19/2025,1,,3,,,,,,,Unknown,,,,,,Media Monitoring
632,Allegro North Campus,41567 BRIARFIELD LN,ALDIE,VA,20105,High,,,,Other sources,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/c8b47962-6627-4998-a318-03e49ce25ef7?tab=locations,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=202285740000&jur=107&taxyr=2025,,,,,,,38.956320,-77.545157,8/6/2025,10/17/2025,1,,,,"1,260,000",,49,,,Proposed,New,,,,,PEC
633,Plaza 500,6295 Edsall Rd,Alexandria,VA,22312,High,,,,Other sources,https://www.datacenterdynamics.com/en/news/starwood-re-proposes-data-center-in-alexandria-virginia/,https://www.fairfaxcounty.gov/gisapps/ParcelInfoReportJade/ParcelInfoReport.aspx?ParcelID=0812010007,,,,,,,38.802271,-77.142522,9/12/2025,10/17/2025,1,,,,"461,444",,,,,Proposed,New,,,,,PEC
637,Brambleton Business Campus Data Center,42842 ARCOLA BLVD,ASHBURN,VA,,High,,,,Other sources,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/c34be238-7d4b-4f9b-9b80-152afd7a05d4?tab=locations,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=161397058000&jur=107&taxyr=2025,,,,,,,38.953912,-77.518372,8/6/2025,10/17/2025,1,,,,"936,191",,48,,Site includes a substation which may reduce the built square footage which comes from the 2015 proffers,Proposed,New,,,,,PEC
634,Equinix data center,21551 Beaumeade Cir,Ashburn,VA,20147,High,,,,Google Maps only,,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=060108050000&jur=107&taxyr=2024&LMparent=20,,,,,,,39.021290,-77.451800,5/28/2025,5/28/2025,1,,,,"152,400",,11,,"Shown as ""Storage Warehouse""",Operating,Complete,,Loudoun,,,Media Monitoring and PEC
636,H5 data center,21800 Beaumeade Cir,Ashburn,VA,20147,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/h5-breaks-ground-on-data-center-in-ashburn-virginia/,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=061307791000&jur=107&taxyr=2024&LMparent=20,,,,,,,39.013930,-77.451600,5/28/2025,5/28/2025,3,,,,"228,816",,5,,Computer Center,Operating,Complete,,Loudoun,,,Media Monitoring and PEC
635,Sabey data center,21741 Red Rum Drive,Ashburn,VA,20147,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/sabey-breaks-ground-on-third-building-at-ashburn-virginia-campus/,https://www.businesswire.com/news/home/20250624907578/en/Sabey-Data-Centers-Breaks-Ground-on-Final-Phase-of-Ashburn-Campus-Expansion,https://sabeydatacenters.com/locations/ashburn-data-center,,,,,,39.015500,-77.478300,7/15/2025,7/15/2025,4,,,,"645,000",,,,,Approved/Permitted/Under construction,,,,,,Media Monitoring
791,Vantage VA 3,19509 BELMONT RIDGE RD,Ashburn,VA,20147,High,,VANTAGE DATA CENTERS VA3 LLC/Jeff Tench,,Other sources,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/950F3AEF-A90A-44A7-9963-3B20A7A8A394?tab=attachments,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=113372932000&jur=107&taxyr=2024,,,,,,,39.079757,-77.506546,8/6/2025,10/17/2025,1,,,,"2,329,165",,105,,First building complete. This parcel is in the process of being divided,Proposed,New,,Loudoun,,,PEC
640,Microsoft Azure,101 Herbert Drive,Boydton,VA,,High,,Microsoft Corporation,,Other sources,https://www.datacenters.com/microsoft-azure-east-us-virginia,https://mecklenburg.cama.concisesystems.com/PropertyPage.aspx?id=3675&direct=1,,,,,,,36.696523,-78.361159,4/10/2024,10/17/2025,1,,,,"1,625,704",,855,,This project covers multiple parcels. The total acreage has been represented here.,Operating,Expansion proposed,,Mecklenburg,,,PEC
