subbasin,huc8,area_m2,huc8_id,pca_name,internal_mwh,colocation_mwh,hyperscale_mwh,total_mwh,scarcity_factor,plant_state,lat,lon,primary_fuel,co2_tons,water_intensity_m3_per_mwh,carbon_intensity_tons_per_mwh,water_footprint,carbon_footprint
Upper Kennebec,1030001.0,4109383298.96,1030001,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.26886577905736697,ME,45.6603,-69.812168,WAT,0.0,38.82084089142265,0.0,633472.702565396,0.0
Upper Kennebec,1030001.0,4109383298.96,1030001,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.26886577905736697,ME,45.4592,-69.8658,WAT,0.0,52.96715217907466,0.0,633472.702565396,0.0
Dead,1030002.0,2270360302.52,1030002,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.25720790442230107,ME,45.3853,-70.5258,WND,0.0,0.0038,0.0,606005.6690993479,0.0
Dead,1030002.0,2270360302.52,1030002,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.25720790442230107,ME,45.140614,-70.425577,WDS,7147.528,1.93755189619717,0.028815913498171673,606005.6690993479,67892.96378503666
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.7975,-69.8867,WAT,0.0,0.8383733126293603,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.945514,-69.660705,WDS,2244.52,1.93755189619717,0.03865463438156581,358023.8592983239,91073.90235461363
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.4967,-69.35,WND,0.0,0.0038,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.580175,-69.55452,WAT,0.0,11.47840087200654,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,45.103333,-69.761944,WND,0.0,0.0038,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.221796,-69.785675,WAT,0.0,0.8208436436682317,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.563031,-69.619162,WAT,0.0,13.27507536547091,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.804,-69.838,SUN,0.0,0.0076,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.5467,-69.6292,WAT,0.0,11.1495068258166,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.548544,-69.710404,WAT,0.0,3.485789536565043,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.569872,-69.681841,WAT,0.0,59.46163804698709,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.534397,-69.652232,WAT,0.0,17.57603393245201,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.557725,-69.671364,SUN,0.0,0.0076,0.0,358023.8592983239,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.15195660911913036,ME,44.721371,-69.411992,WAT,0.0,229.2371260259465,0.0,358023.8592983239,0.0
